exporter,importer,tonnes,year,exp_ISO3,imp_ISO3
Slovakia,China,2959412.61,2008,SVK,CHN
South Korea,China,37295769.58,2008,KOR,CHN
Spain,China,13181203.67,2008,ESP,CHN
Sweden,China,3974558.45,2008,SWE,CHN
Taiwan,China,9169578.18,2008,TWN,CHN
United Kingdom,China,8163361.21,2008,GBR,CHN
United States,China,55656735.84,2008,USA,CHN
Australia,Czech Republic,66799.18,2008,AUS,CZE
Austria,Czech Republic,49272.4,2008,AUT,CZE
Belgium,Czech Republic,106753.48,2008,BEL,CZE
Brazil,Czech Republic,147211.75,2008,BRA,CZE
Canada,Czech Republic,117964.96,2008,CAN,CZE
China,Czech Republic,4247275.31,2008,CHN,CZE
Czech Republic,Czech Republic,51586.05,2008,CZE,CZE
Finland,Czech Republic,26636.5,2008,FIN,CZE
France,Czech Republic,155943.54,2008,FRA,CZE
Germany,Czech Republic,368030.97,2008,DEU,CZE
Greece,Czech Republic,40203.6,2008,GRC,CZE
India,Czech Republic,319870.84,2008,IND,CZE
Indonesia,Czech Republic,64151.88,2008,IDN,CZE
Italy,Czech Republic,260296.04,2008,ITA,CZE
Japan,Czech Republic,879161.03,2008,JPN,CZE
Mexico,Czech Republic,133669.31,2008,MEX,CZE
Netherlands,Czech Republic,79819.13,2008,NLD,CZE
Poland,Czech Republic,89470.55,2008,POL,CZE
RoW Africa,Czech Republic,167420.71,2008,RoW Africa,CZE
RoW America,Czech Republic,176840.1,2008,RoW America,CZE
RoW Asia and Pacific,Czech Republic,299914.41,2008,RoW Asia and Pacific,CZE
RoW EU27,Czech Republic,152816.91,2008,RoW EU27,CZE
RoW Europe,Czech Republic,222911.27,2008,RoW Europe,CZE
RoW Middle East,Czech Republic,422746.18,2008,RoW Middle East,CZE
Russia,Czech Republic,255007.78,2008,RUS,CZE
Slovakia,Czech Republic,36671.21,2008,SVK,CZE
South Korea,Czech Republic,462146.06,2008,KOR,CZE
Spain,Czech Republic,163333.31,2008,ESP,CZE
Sweden,Czech Republic,49250.26,2008,SWE,CZE
Taiwan,Czech Republic,113623.73,2008,TWN,CZE
United Kingdom,Czech Republic,101155.31,2008,GBR,CZE
United States,Czech Republic,689663.77,2008,USA,CZE
Australia,Finland,35077.42,2008,AUS,FIN
Austria,Finland,25873.81,2008,AUT,FIN
Belgium,Finland,56058.13,2008,BEL,FIN
Brazil,Finland,77303.48,2008,BRA,FIN
Canada,Finland,61945.48,2008,CAN,FIN
China,Finland,2230319.06,2008,CHN,FIN
Czech Republic,Finland,27088.74,2008,CZE,FIN
Finland,Finland,13987.29,2008,FIN,FIN
France,Finland,81888.7,2008,FRA,FIN
Germany,Finland,193259.54,2008,DEU,FIN
Greece,Finland,21111.62,2008,GRC,FIN
India,Finland,167969.81,2008,IND,FIN
Indonesia,Finland,33687.28,2008,IDN,FIN
Italy,Finland,136686.03,2008,ITA,FIN
Japan,Finland,461662.94,2008,JPN,FIN
Mexico,Finland,70192.11,2008,MEX,FIN
Netherlands,Finland,41914.43,2008,NLD,FIN
Poland,Finland,46982.56,2008,POL,FIN
RoW Africa,Finland,87915.56,2008,RoW Africa,FIN
RoW America,Finland,92861.85,2008,RoW America,FIN
RoW Asia and Pacific,Finland,157490.34,2008,RoW Asia and Pacific,FIN
RoW EU27,Finland,80246.85,2008,RoW EU27,FIN
RoW Europe,Finland,117054.63,2008,RoW Europe,FIN
RoW Middle East,Finland,221991.46,2008,RoW Middle East,FIN
Russia,Finland,133909.08,2008,RUS,FIN
Slovakia,Finland,19256.7,2008,SVK,FIN
South Korea,Finland,242681.03,2008,KOR,FIN
Spain,Finland,85769.19,2008,ESP,FIN
Sweden,Finland,25862.18,2008,SWE,FIN
Taiwan,Finland,59665.82,2008,TWN,FIN
United Kingdom,Finland,53118.44,2008,GBR,FIN
United States,Finland,362154.59,2008,USA,FIN
Australia,France,216407.11,2008,AUS,FRA
Austria,France,159626.19,2008,AUT,FRA
Belgium,France,345845.77,2008,BEL,FRA
Brazil,France,476917.09,2008,BRA,FRA
Canada,France,382167.22,2008,CAN,FRA
China,France,13759759.11,2008,CHN,FRA
Czech Republic,France,167121.64,2008,CZE,FRA
Finland,France,86293.39,2008,FIN,FRA
France,France,505205.18,2008,FRA,FRA
